PROPLU,Clean Brand,PRONAME,Total Cost 6M,Total Qty 6M,Total Revenue 6M,Selling Price,FC Pct 6M
40002369,TBL,T-Meat Ball Mushroom BlL Fern,482.661373332732,531,1831.95,3.45,26.35%
40002368,TBL,T-Meat Ball Tahina BlL Fern,539.9913388794752,704,2288,3.25,23.60%
40002381,TBL,T-MIX GRILLS Ramadan Delight,904.5203330625135,944,5616.8,5.95,16.10%
40002422,TBL,T-Mushroom Sauce For Create your own bowl,64.74470592939998,473,60.00000000000001,0.12684989429175478,107.91%
40002377,TBL,T-Quinoa,10.81221319,64,22.4,0.35,48.27%
40002382,TBL,T-Shish Tawouk Ramadan Delight,90.2817187061915,143,743.6,5.2,12.14%
40002213,TBL,T-Tawook Brown Rice Bowl &Spicy Tahini,225.22524666216,413,1135.75,2.75,19.83%
40002322,TBL,T-Tawook Brown Rice Bowl Khishkhash,310.32549737045093,557,1531.75,2.75,20.26%
40002332,TBL,T-Tawook Brown Rice Bowl -Mushroom-Combo,105.28707891705487,147,29.400000000000002,0.2,358.12%
40002391,TBL,T-Tawook Brown Rice Bowl -Tahini Ramadan,72.94289016068753,127,603.25,4.75,12.09%
40002371,TBL,T-Tawouk Coconut Curry BlL Fern,367.956915086012,485,1697.5,3.5,21.68%
40002351,TBL,T-The Shawarma Deal(dummy),0,933,2799,3,0.00%
40002352,TBL,T-The Wrap Deal(dummy),0,454,1135,2.5,0.00%
40002390,TBL,T-Tikka Brown Rice Bowl -Mushroom Ramadan,74.81947311208849,67,395,5.895522388059701,18.94%
